"Trial.Number","Random_ID","Response_H","Response_Ax","Response_fdbk","Response_SubjPE","Response_PE","Response_certainty","Response_m_hist","Response_pred","mini_SPIN_total","Social_Anxiety"
28,"SUPPRF83664",73,79,55,6,-16,34,71,49,5,"low"
29,"SUPPRF83664",85,72,67,30,-13,24,80,37,5,"low"
30,"SUPPRF83664",63,74,16,-13,-13,62,29,29,5,"low"
31,"SUPPRF83664",73,70,46,18,17,65,29,28,5,"low"
32,"SUPPRF83664",77,85,100,22,20,79,80,78,5,"low"
33,"SUPPRF83664",77,69,45,1,-1,64,46,44,5,"low"
34,"SUPPRF83664",68,77,66,36,12,66,54,30,5,"low"
35,"SUPPRF83664",58,73,19,-12,-1,39,20,31,5,"low"
36,"SUPPRF83664",81,73,28,6,-1,78,29,22,5,"low"
37,"SUPPRF83664",75,68,55,2,1,70,54,53,5,"low"
38,"SUPPRF83664",87,84,88,31,25,61,63,57,5,"low"
39,"SUPPRF83664",78,79,38,-5,1,63,37,43,5,"low"
40,"SUPPRF83664",84,82,81,1,1,76,80,80,5,"low"
41,"SUPPRF83664",71,71,94,61,23,24,71,33,5,"low"
42,"SUPPRF83664",78,72,61,20,24,25,37,41,5,"low"
43,"SUPPRF83664",83,79,47,-6,27,25,20,53,5,"low"
44,"SUPPRF83664",79,71,62,1,-1,74,63,61,5,"low"
45,"SUPPRF83664",82,76,58,13,12,67,46,45,5,"low"
46,"SUPPRF83664",56,70,24,-30,-13,67,37,54,5,"low"
47,"SUPPRF83664",83,73,37,-1,0,76,37,38,5,"low"
48,"SUPPRF83664",81,72,8,-10,-12,77,20,18,5,"low"
1,"SUPPRF30408",54,63,38,5,1,80,37,33,4,"low"
2,"SUPPRF30408",62,66,100,19,20,79,80,81,4,"low"
