"Trial.Number","Random_ID","Mood","Anxiety","fdbk","SubjPE","PE","Certainty_Rating","m_hist","Prediction","pilot_nr","pilot_details"
23,"SUPPRF21828",49,49,55,3,1,49,54,52,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF21828",49,47,38,-20,1,48,37,58,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF21828",50,50,6,-55,-14,51,20,61,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF21828",51,51,46,-14,0,51,46,60,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF21828",51,49,55,3,-16,50,71,52,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF21828",51,50,34,-31,-12,49,46,65,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF21828",50,50,62,8,-1,50,63,54,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF21828",49,48,68,14,-12,47,80,54,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF21828",48,48,50,0,-13,48,63,50,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF21828",49,48,54,-8,0,49,54,62,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF21828",50,50,61,6,24,57,37,55,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF21828",49,50,24,-35,-13,51,37,59,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF21828",49,48,56,4,-15,51,71,52,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF21828",49,48,77,29,14,48,63,48,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF21828",50,49,20,-40,0,55,20,60,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF21828",49,50,81,23,1,49,80,58,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF21828",49,50,96,46,16,49,80,50,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF21828",48,49,67,17,-13,49,80,50,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF21828",48,46,35,1,15,45,20,34,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF21828",49,49,22,-45,-15,52,37,67,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF21828",50,52,15,-13,-14,49,29,28,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF21828",48,47,16,-10,-13,48,29,26,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF21828",49,48,8,-37,-12,48,20,45,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF21828",48,47,28,4,-1,49,29,24,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF21828",48,47,63,28,0,50,63,35,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF21828",47,50,100,16,20,48,80,84,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF12765",75,1,68,-2,-12,50,80,70,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF12765",76,0,24,-20,-13,50,37,44,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF12765",76,0,55,-11,1,50,54,66,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF12765",80,75,8,-12,-12,0,20,20,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF12765",76,0,38,10,1,0,37,28,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF12765",72,0,47,-18,-16,0,63,65,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF12765",70,0,28,16,-1,0,29,12,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF12765",78,0,20,0,0,100,20,20,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF12765",73,0,62,-3,-1,0,63,65,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF12765",78,0,22,-26,-15,50,37,48,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF12765",70,0,41,-20,-13,17,54,61,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF12765",71,0,100,41,20,0,80,59,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF12765",84,0,77,19,14,0,63,58,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF12765",79,0,61,28,24,0,37,33,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF12765",64,0,37,-26,0,50,37,63,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF12765",73,0,58,1,12,0,46,57,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF12765",73,0,46,-14,17,50,29,60,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF12765",79,0,16,-3,-13,2,29,19,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF12765",81,0,71,-7,0,0,71,78,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF12765",73,0,58,-13,29,0,29,71,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF12765",76,1,33,-33,-13,68,46,66,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF12765",71,0,15,-18,-14,100,29,33,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF12765",81,4,34,-9,-12,2,46,43,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF12765",78,0,96,17,16,50,80,79,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF12765",72,2,46,23,0,100,46,23,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF12765",64,0,35,16,15,100,20,19,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF12765",68,0,49,-2,12,0,37,51,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF12765",73,0,75,12,29,55,46,63,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF12765",80,0,47,24,27,100,20,23,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF12765",75,0,56,-29,-15,95,71,85,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF12765",72,0,80,-3,0,74,80,83,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF12765",70,0,54,54,0,0,54,0,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF12765",65,0,63,2,0,21,63,61,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF12765",73,0,81,4,1,11,80,77,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF12765",70,0,67,10,-13,75,80,57,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF12765",78,0,6,-26,-14,100,20,32,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF12765",74,3,83,47,12,100,71,36,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF12765",67,0,38,-23,-16,74,54,61,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF12765",76,0,50,20,-13,94,63,30,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF12765",73,0,66,-11,12,0,54,77,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF12765",77,0,55,-27,-16,73,71,82,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF12765",77,0,88,34,25,0,63,54,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF12765",65,1,29,-35,0,77,29,64,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF12765",74,0,78,23,24,100,54,55,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF12765",72,0,19,-9,-1,100,20,28,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF12765",75,0,70,9,-1,0,71,61,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF12765",74,0,94,22,23,100,71,72,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF12765",73,0,45,3,-1,0,46,42,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF86181",64,17,58,6,12,47,46,52,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF86181",55,27,49,17,12,58,37,32,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF86181",27,16,6,-51,-14,35,20,57,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF86181",54,27,47,28,27,21,20,19,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF86181",41,42,38,-12,-16,54,54,50,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF86181",45,14,24,-26,-13,49,37,50,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF86181",35,36,58,24,29,38,29,34,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF86181",49,18,94,30,23,72,71,64,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF86181",20,39,34,-19,-12,60,46,53,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF86181",23,27,66,29,12,57,54,37,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF86181",44,44,41,1,-13,50,54,40,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF86181",35,47,50,23,-13,13,63,27,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF86181",23,15,16,-33,-13,19,29,49,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF86181",58,44,67,32,-13,55,80,35,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF86181",60,27,68,25,-12,28,80,43,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF86181",78,22,46,-33,17,68,29,79,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF86181",73,31,45,-4,-1,61,46,49,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF86181",75,26,100,48,20,28,80,52,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF86181",49,20,46,-11,0,53,46,57,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF86181",36,24,29,-36,0,55,29,65,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF86181",75,12,80,10,0,79,80,70,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF86181",61,26,56,-8,-15,74,71,64,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF86181",61,21,38,-13,1,64,37,51,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF86181",60,28,15,-35,-14,28,29,50,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF86181",38,35,37,-3,0,50,37,40,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF86181",57,30,35,-31,15,30,20,66,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF86181",57,32,62,21,-1,47,63,41,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF86181",66,23,55,-3,1,70,54,58,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF86181",53,55,33,-14,-13,55,46,47,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF86181",57,31,61,15,24,53,37,46,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF86181",49,56,55,-3,-16,70,71,58,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF86181",60,29,96,24,16,81,80,72,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF86181",63,22,54,-11,0,73,54,65,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF86181",65,26,81,-3,1,77,80,84,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF86181",51,21,19,-53,-1,27,20,72,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF86181",74,21,28,-4,-1,70,29,32,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF86181",57,24,22,-32,-15,64,37,54,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF86181",64,64,47,6,-16,61,63,41,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF86181",60,32,78,24,24,81,54,54,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF86181",79,26,20,-19,0,28,20,39,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF86181",62,29,75,22,29,73,46,53,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF86181",66,62,71,20,0,52,71,51,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF86181",63,32,70,42,-1,59,71,28,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF86181",67,19,77,13,14,61,63,64,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF86181",72,21,8,-13,-12,84,20,21,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF86181",66,26,83,15,12,63,71,68,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF86181",79,23,88,17,25,76,63,71,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF86181",75,27,63,5,0,20,63,58,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF51200",51,58,61,29,24,21,37,32,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF51200",51,44,71,38,0,37,71,33,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF51200",41,47,6,-25,-14,38,20,31,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF51200",47,44,15,-24,-14,37,29,39,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF51200",42,49,62,8,-1,58,63,54,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF51200",24,11,47,45,27,86,20,2,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF51200",44,52,58,47,29,46,29,11,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF51200",47,52,94,65,23,42,71,29,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF51200",53,13,20,-11,0,49,20,31,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF51200",52,47,56,15,-15,48,71,41,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF51200",42,46,46,28,17,37,29,18,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF51200",34,47,70,24,-1,53,71,46,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF51200",48,42,24,5,-13,42,37,19,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF51200",44,49,28,-17,-1,44,29,45,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF51200",32,33,34,-26,-12,62,46,60,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF51200",37,34,41,-8,-13,56,54,49,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF51200",40,48,75,55,29,44,46,20,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF51200",47,56,37,21,0,47,37,16,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF51200",46,49,38,-6,-16,70,54,44,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF51200",42,38,63,13,0,49,63,50,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF51200",38,38,100,42,20,46,80,58,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF51200",63,39,47,5,-16,47,63,42,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF51200",49,49,46,-3,0,41,46,49,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF51200",52,42,35,19,15,58,20,16,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF51200",51,47,54,-45,0,87,54,99,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF51200",50,46,66,41,12,43,54,25,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF51200",45,40,96,64,16,49,80,32,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF51200",41,49,78,30,24,49,54,48,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF51200",39,40,58,14,12,45,46,44,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF51200",52,46,67,12,-13,56,80,55,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF51200",50,44,55,19,-16,57,71,36,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF51200",55,51,50,-11,-13,33,63,61,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF51200",54,55,81,44,1,56,80,37,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF51200",14,48,80,67,0,48,80,13,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF51200",76,31,22,-11,-15,79,37,33,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF51200",49,41,77,33,14,60,63,44,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF51200",51,47,45,3,-1,91,46,42,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF51200",61,27,16,-13,-13,96,29,29,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF51200",71,36,83,15,12,63,71,68,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF51200",53,63,88,5,25,84,63,83,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF51200",33,1,8,-22,-12,28,20,30,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF51200",74,5,19,-39,-1,18,20,58,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF51200",49,40,29,-33,0,53,29,62,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF51200",42,34,68,17,-12,53,80,51,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF51200",54,43,49,21,12,19,37,28,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF51200",39,61,55,-5,1,68,54,60,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF51200",58,47,33,-20,-13,42,46,53,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF51200",55,33,38,-1,1,39,37,39,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF34485",69,8,38,2,1,70,37,36,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF34485",95,0,80,-2,0,99,80,82,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF34485",59,9,8,-13,-12,83,20,21,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF34485",78,26,46,4,17,53,29,42,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF34485",83,16,66,17,12,62,54,49,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF34485",57,9,67,-13,-13,59,80,80,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF34485",53,7,20,-47,0,40,20,67,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF34485",65,2,81,3,1,45,80,78,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF34485",66,6,19,-2,-1,60,20,21,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF34485",82,4,94,18,23,77,71,76,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF34485",56,4,63,-12,0,78,63,75,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF34485",63,13,88,31,25,57,63,57,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF34485",75,16,47,22,27,61,20,25,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF34485",47,3,29,-16,0,58,29,45,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF34485",33,7,33,-19,-13,53,46,52,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF34485",54,14,38,2,-16,33,54,36,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF34485",52,16,46,-1,0,63,46,47,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF34485",61,2,71,13,0,49,71,58,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF34485",77,9,83,20,12,55,71,63,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF34485",65,13,75,18,29,55,46,57,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF34485",44,3,28,-36,-1,58,29,64,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF34485",65,27,58,-6,12,58,46,64,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF34485",64,20,34,-20,-12,72,46,54,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF34485",30,21,22,-40,-15,49,37,62,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF34485",70,14,58,30,29,46,29,28,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF34485",60,49,61,27,24,55,37,34,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF34485",65,23,68,-27,-12,66,80,95,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF34485",64,19,35,13,15,37,20,22,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF34485",68,27,49,10,12,56,37,39,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF34485",32,56,50,-12,-13,55,63,62,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF34485",67,25,100,41,20,33,80,59,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF34485",66,27,6,-33,-14,52,20,39,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF34485",67,22,56,32,-15,57,71,24,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF34485",69,27,55,11,1,59,54,44,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF34485",67,33,78,21,24,38,54,57,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF34485",49,15,47,-22,-16,55,63,69,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF34485",75,31,96,11,16,69,80,85,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF34485",61,18,54,-13,0,58,54,67,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF34485",69,33,45,-7,-1,65,46,52,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF34485",44,6,55,-20,-16,66,71,75,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF34485",51,72,16,-41,-13,47,29,57,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF34485",48,17,77,26,14,43,63,51,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF34485",23,42,62,-9,-1,65,63,71,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF34485",52,28,37,-5,0,25,37,42,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF34485",59,14,70,5,-1,60,71,65,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF34485",31,29,41,-8,-13,62,54,49,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF34485",31,28,15,-20,-14,49,29,35,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF34485",40,25,24,-8,-13,61,37,32,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF79962",36,0,8,-17,-12,72,20,25,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF79962",34,0,15,-15,-14,77,29,30,"Pilot 8","Pilot 8: max feedback + text"
3,"SUPPRF79962",34,0,55,-11,-16,61,71,66,"Pilot 8","Pilot 8: max feedback + text"
4,"SUPPRF79962",33,0,22,5,-15,0,37,17,"Pilot 8","Pilot 8: max feedback + text"
5,"SUPPRF79962",27,0,24,3,-13,61,37,21,"Pilot 8","Pilot 8: max feedback + text"
6,"SUPPRF79962",30,0,6,-15,-14,7,20,21,"Pilot 8","Pilot 8: max feedback + text"
7,"SUPPRF79962",32,0,88,20,25,63,63,68,"Pilot 8","Pilot 8: max feedback + text"
8,"SUPPRF79962",32,0,37,4,0,84,37,33,"Pilot 8","Pilot 8: max feedback + text"
9,"SUPPRF79962",31,0,29,-29,0,5,29,58,"Pilot 8","Pilot 8: max feedback + text"
10,"SUPPRF79962",29,0,67,21,-13,0,80,46,"Pilot 8","Pilot 8: max feedback + text"
11,"SUPPRF79962",29,0,41,-14,-13,60,54,55,"Pilot 8","Pilot 8: max feedback + text"
12,"SUPPRF79962",32,0,77,77,14,0,63,0,"Pilot 8","Pilot 8: max feedback + text"
13,"SUPPRF79962",39,0,78,27,24,36,54,51,"Pilot 8","Pilot 8: max feedback + text"
14,"SUPPRF79962",32,0,55,-4,1,55,54,59,"Pilot 8","Pilot 8: max feedback + text"
15,"SUPPRF79962",29,0,49,-1,12,27,37,50,"Pilot 8","Pilot 8: max feedback + text"
16,"SUPPRF79962",34,0,45,19,-1,62,46,26,"Pilot 8","Pilot 8: max feedback + text"
17,"SUPPRF79962",32,0,58,29,29,61,29,29,"Pilot 8","Pilot 8: max feedback + text"
18,"SUPPRF79962",27,0,47,10,-16,21,63,37,"Pilot 8","Pilot 8: max feedback + text"
19,"SUPPRF79962",33,0,96,24,16,78,80,72,"Pilot 8","Pilot 8: max feedback + text"
20,"SUPPRF79962",30,0,19,-1,-1,81,20,20,"Pilot 8","Pilot 8: max feedback + text"
21,"SUPPRF79962",33,0,71,1,0,71,71,70,"Pilot 8","Pilot 8: max feedback + text"
22,"SUPPRF79962",29,0,16,-16,-13,20,29,32,"Pilot 8","Pilot 8: max feedback + text"
23,"SUPPRF79962",34,0,100,16,20,83,80,84,"Pilot 8","Pilot 8: max feedback + text"
24,"SUPPRF79962",37,0,80,0,0,68,80,80,"Pilot 8","Pilot 8: max feedback + text"
25,"SUPPRF79962",30,0,68,-12,-12,61,80,80,"Pilot 8","Pilot 8: max feedback + text"
26,"SUPPRF79962",31,0,33,-12,-13,72,46,45,"Pilot 8","Pilot 8: max feedback + text"
27,"SUPPRF79962",35,0,38,-17,-16,68,54,55,"Pilot 8","Pilot 8: max feedback + text"
28,"SUPPRF79962",32,0,66,12,12,67,54,54,"Pilot 8","Pilot 8: max feedback + text"
29,"SUPPRF79962",29,0,58,18,12,16,46,40,"Pilot 8","Pilot 8: max feedback + text"
30,"SUPPRF79962",20,0,47,22,27,70,20,25,"Pilot 8","Pilot 8: max feedback + text"
31,"SUPPRF79962",17,0,34,-8,-12,70,46,42,"Pilot 8","Pilot 8: max feedback + text"
32,"SUPPRF79962",20,0,46,1,0,61,46,45,"Pilot 8","Pilot 8: max feedback + text"
33,"SUPPRF79962",24,0,46,20,17,77,29,26,"Pilot 8","Pilot 8: max feedback + text"
34,"SUPPRF79962",19,0,28,5,-1,65,29,23,"Pilot 8","Pilot 8: max feedback + text"
35,"SUPPRF79962",19,1,54,-6,0,67,54,60,"Pilot 8","Pilot 8: max feedback + text"
36,"SUPPRF79962",16,0,75,27,29,70,46,48,"Pilot 8","Pilot 8: max feedback + text"
37,"SUPPRF79962",16,0,62,15,-1,63,63,47,"Pilot 8","Pilot 8: max feedback + text"
38,"SUPPRF79962",17,0,70,-3,-1,80,71,73,"Pilot 8","Pilot 8: max feedback + text"
39,"SUPPRF79962",15,0,61,16,24,30,37,45,"Pilot 8","Pilot 8: max feedback + text"
40,"SUPPRF79962",17,0,20,-1,0,66,20,21,"Pilot 8","Pilot 8: max feedback + text"
41,"SUPPRF79962",14,0,81,53,1,32,80,28,"Pilot 8","Pilot 8: max feedback + text"
42,"SUPPRF79962",12,0,50,-18,-13,62,63,68,"Pilot 8","Pilot 8: max feedback + text"
43,"SUPPRF79962",12,0,56,-9,-15,79,71,65,"Pilot 8","Pilot 8: max feedback + text"
44,"SUPPRF79962",10,4,94,71,23,7,71,23,"Pilot 8","Pilot 8: max feedback + text"
45,"SUPPRF79962",16,0,38,-19,1,20,37,57,"Pilot 8","Pilot 8: max feedback + text"
46,"SUPPRF79962",11,0,83,12,12,32,71,71,"Pilot 8","Pilot 8: max feedback + text"
47,"SUPPRF79962",13,0,63,-1,0,36,63,64,"Pilot 8","Pilot 8: max feedback + text"
48,"SUPPRF79962",12,0,35,21,15,27,20,14,"Pilot 8","Pilot 8: max feedback + text"
1,"SUPPRF00818",71,0,78,25,24,63,54,53,"Pilot 8","Pilot 8: max feedback + text"
2,"SUPPRF00818",70,0,37,-3,0,63,37,40,"Pilot 8","Pilot 8: max feedback + text"
