"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","order.ot79","branch.g31k","branch.5gtn","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1695829268659,"27/09/2023 15:41:08",1695814868659,-4,"27/09/2023 07:41:08",144636,4,"questionnaire-wop8",NA,31900529,9432865,NA,"complete","ersade","3R2PKQ87N27MTGI6BS8IU0ZPJLAIM4","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x800","1280x651",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPAMT00201"
"1",1695829348172,"27/09/2023 15:42:28",1695814948172,-4,"27/09/2023 07:42:28",144636,4,"questionnaire-wop8",NA,31900552,9432860,NA,"complete","mfmdym","36AHBNMV1XB5FMRY2HVIXY6J0QFYD7","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"GHFIEJDACB","Passed AC2","","1-0","1","SUPAMT59156"
"1",1695829511465,"27/09/2023 15:45:11",1695815111465,-4,"27/09/2023 07:45:11",144636,4,"questionnaire-wop8",NA,31900592,9432906,NA,"complete","incrvy","31JLPPHS20TV3GLZ35G8IYM5V3S3O4","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT52689"
"1",1695829971071,"27/09/2023 15:52:51",1695815571071,-4,"27/09/2023 07:52:51",144636,4,"questionnaire-wop8",NA,31900746,9432907,NA,"complete","wpsdub","35DR22AR5JJIXPZR4W341BDY77X3X9","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT89542"
"1",1695851687935,"27/09/2023 21:54:47",1695837287935,-4,"27/09/2023 13:54:47",144636,4,"questionnaire-wop8",NA,31900779,9432962,NA,"complete","axekhd","3TY7ZAOG5LJGWX1NMQ6W9J7P8M0K08","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x768",NA,NA,0,"Attention Check 2 (Clone)",1,"BCADJEIFHG","Passed AC2","","1-0","1","SUPAMT04615"
"1",1695830296534,"27/09/2023 15:58:16",1695815896534,-4,"27/09/2023 07:58:16",144636,4,"questionnaire-wop8",NA,31900881,9432929,NA,"complete","zjrspa","3E337GFOLF7EF7XBX5NFM3B99YSGNA","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPAMT75604"
"1",1695830342313,"27/09/2023 15:59:02",1695815942313,-4,"27/09/2023 07:59:02",144636,4,"questionnaire-wop8",NA,31900898,9432949,NA,"complete","owsinx","3KOPY89HME1H25U2NSO3A25JW9KJ33","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Failed AC2","Passed AC1","0-2","3","SUPAMT62274"
"1",1695841444344,"27/09/2023 19:04:04",1695816244344,-7,"27/09/2023 05:04:04",144636,4,"questionnaire-wop8",NA,31901033,9432933,NA,"complete","razzeo","3YWRV122CYYCHIB2B8ND8LM5TB88UE","computer","Desktop or Laptop","Windows 8.1","Chrome 109.0.0.0","1366x768","1366x625",NA,NA,0,"Attention Check 2 (Clone)",1,"CDBEAFJGIH","Passed AC2","","1-0","1","SUPAMT58485"
"1",1695830660589,"27/09/2023 16:04:20",1695816260589,-4,"27/09/2023 08:04:20",144636,4,"questionnaire-wop8",NA,31901049,9433017,NA,"complete","uyxadx","3XLBSAQ9ZABP330T7QUFBD5PK9AZ70","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1280x1024","1280x875",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT21877"
"1",1695797222994,"27/09/2023 06:47:02",1695817022994,5.5,"27/09/2023 17:47:02",144636,4,"questionnaire-wop8",NA,31901414,9433024,NA,"complete","gaecgl","3GA6AFUKOUNLBZZCZSLIYPP4JHEH3U","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x715",NA,NA,0,"Attention Check 2 (Clone)",1,"JAIBHCGDFE","Passed AC2","","1-0","1","SUPAMT90670"
"1",1695831751632,"27/09/2023 16:22:31",1695817351632,-4,"27/09/2023 08:22:31",144636,4,"questionnaire-wop8",NA,31901558,9432975,NA,"complete","ekwfxs","33M4IA01QM0AGRKTFM40J9GEDLFRX3","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2 (Clone)",1,"FGEHDICJBA","Passed AC2","","1-0","1","SUPAMT51338"
"1",1695835675434,"27/09/2023 17:27:55",1695817675434,-5,"27/09/2023 07:27:55",144636,4,"questionnaire-wop8",NA,31901719,9432993,NA,"complete","fidjdz","3UJ1CZ6IZNODFN0WO5LAH0UQ6OP5SW","computer","Desktop or Laptop","Windows 10","Chrome 117.0.0.0","1366x768","1364x561",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT63304"
"1",1695833452129,"27/09/2023 16:50:52",1695819052129,-4,"27/09/2023 08:50:52",144636,4,"questionnaire-wop8",NA,31902395,9433321,NA,"complete","wngnnm","3634BBTX0UTGN6QPP545ZAFGMK6IF5","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"DECFBGAHJI","Passed AC2","","1-0","1","SUPAMT51859"
"1",1695833475444,"27/09/2023 16:51:15",1695819075444,-4,"27/09/2023 08:51:15",144636,4,"questionnaire-wop8",NA,31902414,9433359,NA,"complete","slbjwl","3C5W7UE9CLPJJB71AE8JXAM47YNMXH","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"HIGJFAEBDC","Passed AC2","","1-0","1","SUPAMT03607"
"1",1695833804305,"27/09/2023 16:56:44",1695819404305,-4,"27/09/2023 08:56:44",144636,4,"questionnaire-wop8",NA,31902597,9433363,NA,"complete","kniaso","","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2 (Clone)",1,"IJHAGBFCED","Passed AC2","","1-0","1","SUPAMT33061"
